users,conv_count
sacarlson,1415
stiltzkin,43
Ben64,298
sunny1,15
dotblank,211
john38,139
excelsior,62
arnpro,8
RisingChurch,11
indus,513
q0_0p,41
UltraParadigm,31
enav,117
BluesKaj,1629
street_dvd,8
costre,169
schweegi,10
eveningsky,21
subone,73
sleepy_,8
rallias,161
chid,43
ZykoticK9,3318
Plimmer,13
stryk3r,16
Out_Cold,401
cherwin,14
shtirlic,29
jeiam,21
jpds,611
DasEi1,59
koolhead11,13
fastijum,13
raving,15
neoraj,34
ghufran,42
bobthemilkman,58
tripelb,430
BlaDe^,84
ssn,22
mkanyicy,502
melik,12
daftykins,360
gerber,9
poincare101,25
compgenius,14
maco,2030
JackWat,37
fuzion24,11
Xcell,11
Idlehead,23
kyrix,16
BlubbTec,28
frxstrem,189
hexdump_,64
billy2007,78
oCean_,654
melrokz,24
bill,12
ne7work,83
c3l,228
lallenlowe,56
billy,61
jetole,54
moetunes,290
visof,43
RPG-Master,43
foul_owl,45
bootninja,12
shazbotmcnasty,140
Serraphyn,72
iamnotaguest,12
arvind_khadri,166
Typos_King_,16
Myrtti,882
KRiMoRaL,15
Typos_King,564
silv3r_m00n,106
phylock,12
red2kic,934
Chaorain,24
jags,50
riku,9
wrektjet,26
augustl,53
Elirips,12
solow,53
TommyThaGun,21
ubuntu,280
eycel,22
AbuMaia,78
mknarr,49
edgy360,10
abadabad00,21
mypcwontstart,8
ubutom2,8
purplebluesilver,14
ubutom3,9
Guest70684,9
Tm_T,109
medex,9
An_Ony_Moose,94
ninjai,26
Jordan_U,3312
XuMuK,70
C-Ray,8
wasnik,20
glitchd,121
Avasz,58
normanclegg,24
[B]lack[D]ragoN,8
sinisterstuf,125
rocket16,456
eross,40
cloversg,24
Dazzled,46
Ek|mu5,40
chelz,537
Berzerker,33
iromli,23
chd,25
tsyj2007,29
circuitman,50
theadmin,3505
magicianlord,367
thefatloverboy,11
foolhardy,14
trinikrono,31
iustinian,41
Kreppnar,8
hmw,358
pepsi,8
hotxboy,16
datroubler,8
mattgyver,130
phix,69
linxeh,261
Emanon,225
juk,367
Ampelbein,133
aroman,82
vsingh165,18
sharedLan,8
Joshua_Roberts,24
peturi,42
cablop,393
LjL,839
z0net,18
violinappren,266
monkey_dust,90
mezquitale,99
picard1421,75
BiggFREE,42
Random832,268
rumpsy,183
Psi-Jack-,16
switch10,50
okapi14,17
egsome,85
Pici,3829
lunks,25
KB1JWQ,345
dany_,14
Oer,437
pietrubens,11
git__,59
Inde147,9
tittn,8
SimonP86,14
catzz,20
mah454,38
obscurant1st,149
teage,73
chowder,40
Airris,44
jagosix,15
LinuxGuy2009,546
dabukalam,65
patg,8
pranay_09,20
plum,56
svscvsc,14
gottto,85
SwimmingRat,16
EnigmaticCoder,43
rmatte,19
amikrop,37
wombatman,19
SolarisBoy,197
DagmarX,21
leftist,48
p1l0t,78
mrman208,47
augustRush,17
toyman61,31
facugaich,12
eremite,250
sharperguy,18
nowarninglabel,10
elb0w,66
wols_,377
LekeFly,38
sudo-su,12
clickme,34
izmanromli,14
geoff918,14
Cody3290,67
bahaa,42
tehbaut,48
tuxuser_,10
ChogyDan,763
moza,14
abhinav,60
Avocadobride,15
jkd4,20
genii,171
abhi_nav,686
cellofellow,65
philipro,16
phpechowiec,13
Sanus,37
Zteam,16
joschi,33
chrowe,11
SpaceGhostC2C,307
BoondoKLife,9
lasthope106,9
StopSign,9
antivirtel,76
juboba,43
Neezer,21
smerz,59
Powerwork,9
onetinsoldier,707
beli,97
eirann,9
arathald,20
Ganymede,84
Pirate_Hunter,124
sikun,9
ilovethislinuxst,30
NeoCicak,38
ravibn,57
Slart,1219
ravi,14
shcherbak,713
Vigo,249
blacktooth,8
york105,38
eryn_1983,9
thiefy,93
kindofabuzz,24
steven_,29
rall,11
rgoytacaz,18
noric,38
CalmvsKhaos,29
oddy,58
Reaper,30
W43372,81
Rapsodius,11
Losha,648
n-iCe,53
FriedrichMan,45
jdeloach,23
Cynthia,153
hoonches,19
JEEBsv,10
lalalol,27
mcsmurf,8
vicsar,32
eamon,96
meowsus,67
haakon87,24
Dougdoug4,55
cryptk,39
EzeQL,43
pdtpatrick,12
iAccepted,13
bolex,8
aeon-ltd,1833
tuliohm,8
MobiusJedi,17
cheako,44
om26er,310
linagee,24
preecher,32
fridgerator,30
ceno,24
terry_,114
Tricia,11
jastor,56
Lazy^,35
roscogruen,23
duffydack,359
abb,10
sine`,26
magedragon25,17
Spaztic_One,64
ortsvorsteher,68
itheos,39
Anonehawk,8
xiven,72
MozillaGuerrilla,13
Pr0jectRec0n,15
winXPuser,93
Mathuin,135
Nollog,32
Ichat,106
Thelz,8
tm0,30
nsahoo,28
acovrig,128
voss749,40
MetaPhaze,30
samc,11
cached,41
khafiz,11
Xano,11
dugger5688,96
komputes,27
psusi,214
dj_segfault,134
gp5st,48
malifal,17
paranoid_pedlar,34
DasEi,1916
zus,68
gogeta,486
Sh3r1ff,57
pbureau,31
johnny5,11
Zenker,62
mark1,19
zen933k,35
Taev,88
Dolp,20
knoppies,279
clrg,124
_romeo_,13
thunsucker,57
[DeVil-BoY],8
RyR88,11
robertwall,13
younder,31
sinistrad,48
adrian__,8
markdymek_,28
h00k,968
Mkools,28
sipior,1055
Desciero,15
mcl0vin,79
nsadmin,100
kittenjaugar,11
chili555,46
econtomawesome,16
gaelfx,382
rohithwiz23,15
fbianconi,21
markd,25
osotogari,8
bahamas,66
histo,1220
jo-erlend,70
klappi,53
snow_usa,23
Aeronius,58
Ronaldlo,8
mek||malloc,29
codygman,23
bencc,87
Gieke,16
sqwertle,36
symtab,12
zaxonspox,198
zamba,110
svchost1,17
piero,45
nyhcjedi,14
JimmyNeutron,20
Subby,15
randomusr_,34
dli,291
UbuntuDiscover,10
FireCrotch,70
puser,31
pfifo,944
Hebram,14
bernz,14
Circs,13
sassinoogi,13
rohith,59
j0nr,10
padi999,24
NinoScript,51
Andy-at-home,32
kedy07,9
ejv,338
Parogar,15
Ritlee,37
bsod1,14
gopi,17
Jon-,70
donvito2,18
mysoogals,10
giiker,63
psilo2,33
LorgonJortle,60
Radio-l,11
mickster04,1115
dumont,24
basncy,10
boldfilter,43
erpo,13
szal,889
wiesshund,52
Four2zero,30
ohir,93
DocPlatypus,46
DarkStar1,232
zcat[1],125
oka,20
organiks,34
shaunlewis,8
ader10`,9
|604|,12
carson,19
Gump,79
Sidewinder1,610
Bop,13
vegarn,13
Stargaze,275
schlaftier,43
Sir_Konrad,58
dork,77
andai,66
Kyle__,194
killermask,12
serverduck,40
dimuls,13
rastasean,26
dj_segfault1,17
b2p1mp,22
sulle,10
syn-ack,199
brjann,206
ddilinger,118
stefg,123
Plugh,58
SpaceBass,28
nullp0inter,30
yourmghq,12
jc,15
freezway,77
Blue1,635
dsnyders,311
timyeung,34
psvasti,8
Srayahu,16
zongo,13
ericthehax,13
blakkheim,1362
orson,56
hystreni,13
fedora_newb,26
bribroder,74
keithb,13
nertil,27
GeekSquid,583
node357,30
ccvp,12
zipper,43
keith-,18
marc__,19
bp0,52
surjya,8
cctx005,9
trench,62
CSSnub,13
DBeets,12
roszak,8
Moral_,64
jsec,102
Tashia,9
rifter,83
Superbest,17
archer,8
tecnico,46
AndroUser,25
Stormx2,57
ayrton,19
rzx237,38
Samual,30
guest_,27
Gwar,40
Corey,257
jaypur,24
techzg,15
Ascavasaion,83
nomnex,47
l000,10
Maddeth,23
Ranjan,9
Nitsuga,184
mylisto2,24
abhi_nav_,32
sonicroxs,9
meganerd,253
MrD_,30
daniel__,72
NewWorld,125
Seveas,398
iDope,36
soicon,22
needhelp,28
Flare183,171
bfri,40
bonks,14
RfooTfoo,8
BuenGenio,34
^sn00per^,19
zenlunatic,60
nwidger,10
Curly_Q,174
[[thufir]],14
Alan502,111
danijel,8
MFen,12
V4mpire,15
LetsGo67,65
lullabud,42
scott_ino2,43
Copperred,23
packrat_mobile,10
ShadeS,15
LincoN^,19
yehia,33
maginot,239
BigRedS_,15
mtx_init,68
madjoe,110
bigtom21485,71
umang,33
enth,9
a,14
pepee,348
Solar_Flare,36
evilbug,17
CVirus,15
askhader,69
bluenemo,46
paulsomebody,79
lordjj,48
usr13,1363
madjoe1,10
seanbrystone,103
keyboardtalk,13
olabaz,17
MACscr,113
kasun,30
mac9416,44
TheAngel,13
hihihi100,81
racerd,40
kareeser,29
katesmith,22
Out_Cold_,23
xjkx,21
galerien,42
skraps,17
zambaboo,13
bombel,16
Red_HamsterX,47
tdskate,10
amos,15
skuzzel,15
kyubutsu,72
delemi,28
fission6,73
looksharp,19
gardar,27
DebiansArmy,30
ecm,9
Trek,376
ticko,15
dpac_,70
bloopletech,89
bastidrazor,1019
dgd,22
nanotube,59
Lachance,32
neezer,68
Lefantomedurezo,10
ubyserver,45
drizzt_,286
arleslie,38
Gnosiz,13
hyperstream,181
PhoenixSTF,44
AlphaOne,9
Pianoman13,15
gwildor,9
kthomas_vh,13
Semitones,73
socratesthekid,12
n00p,24
Boots32M,21
daniskami,42
prodigel,26
xfact,106
Viking667,307
AbortD,47
rabbit1,64
itai_michaelson,19
sonic,10
linus,15
ubuntu51,12
casemods,29
judgen,45
slashme,12
Dan_E,41
matteo1990,25
willwork4foo,75
Devrethman,35
aetr,13
marienz,36
Cube``,114
robbit10,23
jakiw,34
AzikaCorp,27
perlmonkey,56
KaOSoFt,32
WierdAAR,26
malachai,16
besogon,45
lucas71,9
roxdragon,21
aceface,8
toastedmilk,80
Harrison_Bergero,15
FlintWestWood,23
P2E,8
k0rbis,25
SirLoseALot,8
capron,49
joofl,14
KE1HA,422
garry,14
travis_,14
StepNjump,131
abhijit,616
fcuk112,22
mikeru,108
randerzander,18
kelopez,8
JabberWalkie,19
gregl,8
chetnick,76
Error404NotFound,34
ajs86,10
gsgleason,31
frankS2,33
mikeliss,41
vinse,11
edeca,73
oxidizer,10
Pyker,10
ghabit,56
Garnasha,29
zaya,16
shishirdwivedi20,39
ehnde,18
tp43,111
reisio,1022
dht123,23
ke1ha,75
funkiwan,8
Bennage,23
J_C,58
nibbler_,69
motaka2,36
`mOOse`,78
z3r0-0n3,13
B3rz3rk3r,26
DaemonFC,38
ke1ha_,9
becker_11,51
abahkaiyisah,13
FoolsRun,89
jussi,107
ohsix,772
Daekdroom,183
magn3ts,287
raven_,42
corecode,41
necromancer,21
jack_,150
syn3rgy,25
multipass,57
hwilde,165
archboxman,141
Tootoot222,44
mawst,92
egoleo,12
owen1,40
sweb,69
djustice,12
Gryllida,365
maxwellian,84
industrial,40
John__,15
robertpolson,25
carbm1,29
q0k,36
VCoolio,657
Meway,11
sircrazy,9
spekko,17
Shapeshifter,16
[V13]Axel,69
nixnoob,16
zig_,14
actionParsnip1,9
bubulein,10
JoshuaL,62
anubhav,8
m_fulder,60
brokepunk,13
lsemple,28
obscurant1st_,9
jef91,39
VectorX,18
ayam_jago,38
cousteau,84
allowoverride,84
unixalot,36
hunt,20
rudi,10
mrpink57,73
lacita,21
papshmear,12
alankila,77
krysis,47
benkay86,26
trism,800
pweezy,10
krambiorix,23
axisys,87
JoeSomebody,77
pingfloyd,23
kinja-sheep,389
Damascene,16
saruji,19
Kage,26
seanbrystone_,9
obaid,32
Belial`,24
KrisKo,17
jbendotnet,16
Yerushalmi,94
terry,334
mehee,8
rileyp,133
denis123,15
littlegirl,39
Amaranth,31
ekim1,14
PsychoMari0,34
ujjain,61
swordz,20
white_magic,55
i3inary,15
Homely_Girl,36
ekim,15
phoenixz,11
kholby,9
EPAstor,8
Carlis,42
Jenk,29
h4f,23
cycrosism,14
tucemiux,330
hipitihop,70
xumuk,24
pigdude,15
aleanne82,10
razz1,56
icarus-c,389
arand,782
SubCool,93
Gangrel,46
the_real_dave,44
zerocool,14
Shazbutts,12
magnus,21
winr4r,26
ryanakca,9
scunizi,373
shleda,26
RiotingPacifist,10
scotty^,49
kickingintender,45
simar,46
Brandano,35
codebrainz,286
opakavic,19
tarzeau,180
paranoidphreak,23
jrcarr2,19
coachj,39
Castbound,8
w3l54666,17
nOStahl,13
BigRedS,12
antonio_,56
un214,98
FabioTheApe,37
avi_,65
lavin,15
mguy,75
MTec007,30
major_redhat,25
cjohnston,15
meelu,13
Lint01,100
Mr_Sonoma,73
eeepcwifi,8
Darks7ar,13
cmpsalvestrini,53
rinkukokiri,136
Will123456,29
MenZa,54
dr0id,143
erghezi,9
YankDownUnder,516
xmd,10
wiggmpk,19
AndreMorro[BR],88
jazonknight,8
elnur,54
Purpley1,15
Billiard,42
Siria_Calv,13
SmartSsa,20
Jimi_Neutral,54
owner,66
jellow,171
DarkDigitalDream,10
toto__,16
LuizAquino,10
mediaprodigy,46
zzzxzzz,10
blue_pearl,37
ezrafree,56
Jonii,84
bullgard,279
needhelp1,120
seanp8088,8
UnderSampled,38
pen16,12
JJR,10
alteregoa,51
vbajic,8
Dawgmatix,9
MauritianGuy,27
Wipster,33
daddysmurf,17
king11,18
jooiiee,10
tsimpson,295
kesor,16
actionparsnip,203
anthony_,18
retry,89
ziroday,102
zilkomaa,32
abstrakt,309
atlef,110
jimi_,34
harisund,88
Duskin,19
etfb,36
loops,25
Lcawte,53
arkanabar,63
JuJuBee,61
vlt,297
gmendoza,8
diago,13
quarkup,17
MrUnix,37
guest,54
Joke_,10
actionParsnip,366
nexsja,15
aiwa,10
timmarshall,12
songer,60
Lantizia,60
noladesi,14
Lasivian,42
militant,34
muni,21
monoxide,14
mhall119,61
pershian007,9
mAriachi,50
jerry_,28
lighta,82
Athenon,13
Urda,40
tarzeau_,17
alabd,51
brad[werk],8
rubydiamond,27
TheFaioli,8
Renatus,9
web1109,15
OldParr,11
ultraparadigm,34
gerry__,10
d4n1,11
urlwallace,13
ActionParsnip__,89
berserk_ren,10
jutzus,12
jstoone,95
pokoko222,54
KamaL,13
Omega,92
hachre,19
abumaia,30
phong_,155
eiriksvin,114
Phong_,98
suigeneris,84
Irreducibilis,32
Craig_Dem,22
edakiri,41
chuche,11
adac,50
k0ala,23
Dunkirk,53
cwheeler,8
Queops,10
arghh2d2,59
GG19,19
jriehle87,19
DexterF,62
iflema,478
Undertow,17
ohzie,171
planttt,24
Talon_,47
prtylghts,8
brokendisk,15
EastDallas,109
nixjr,73
LtHummus,17
ae86-drifter1,10
xtheunknown0,13
Dice-Man,65
koshari,113
Syed,8
soyo,23
khider,17
Roasted_,93
zetheroo,212
Darkseid,13
CAPcap,153
AudicaLive,10
usser,84
swiftarrow,30
NotTooSmart,52
MegaHerz,40
gFred,9
Dextronaught,27
flow2fly,8
Bodsda,74
step21,49
brewster,37
TheMozart,42
Simon1245,42
captainIan,8
mtaftm,28
ActionParsnip28,33
sunson,32
josephnexus,41
phox_,64
kbrosnan,61
ShazbotMcMurder,16
happy_,16
drizzt__,42
devunt,25
marcuy,29
talented,13
tonyyarusso,276
whatTurtle,9
Matic`Makovec,12
nibbler,203
NoOneHere,10
dandaman,22
Awesome3000,91
unr3a1,11
DreamDemon,33
hacker,9
NateW,20
ouyes,236
Sorhan,12
bpietro,10
alzamabar,32
nimrod10,43
isolat3dsh33p,79
jgcampbell300,83
Snausages,13
skydrome,11
Kieran0413,50
Xfact,90
burzki,23
Ilmatic,38
mmvx,44
Leoneof,14
ben_q,33
MasterOfDisaster,38
viliny,69
calamity,15
ywgx,12
riso,13
TViYH,11
GodfatherofEire,9
coppelman,14
raffaele,8
epaphus,35
gethoht,20
omologos,8
darthanubis,43
dell,26
MichealH,82
domjohnson,32
nathan7,18
commodoor,10
Hunt5,14
jtaji,29
LA-Snow,10
defrysk,58
Pelo,264
ghostnik11,91
w30,157
desynch,19
jcc1,72
nohup,12
david__,27
Aled,52
dim3000,24
semisided1,13
pat|nG,93
hydrid,8
RWHR,10
Migi32,30
Xaero252,34
ctmjr,37
losha,26
jamiewan_,8
cor_r,28
Screamo_Smurf,80
suman,21
ribot,31
qu4nt,9
fabio,36
Burzmali,16
BrainDance,19
macman_,63
inferno_daulXEON,24
howdeep,15
asina12,8
sda_,8
test34,93
faileas,184
ipatrol,46
techwizrd,41
musictoto,25
deviad,13
monokrome,43
roberto_,38
LinuxPhreak,43
Mechdave,17
LJR,46
Prajwal,19
Hydrosis,56
boing,18
xray7224,26
Milp,20
EntityReborn,39
DVA5912,9
adelie42,8
chilli0,65
luist,46
kalle_,19
papul,66
Samus_Aran,56
Eremite,42
osirisx11,16
MorphyNOR,39
sk_,10
Richie086,33
lee_,65
underdev,74
schiellerup,17
ver,23
linusoleander,31
brontosaurusrexw,21
tbruff13,104
ks3,22
danbhfive,34
olof,11
recmajkemi,13
thekid,22
wowoto,20
d33d,17
cj_,9
HTT-Bird,60
brucelee,13
kraut,14
ProfessorBacon,12
dabaR,158
Jon_,25
sanjay,13
ania_,8
adminewb1,9
BinaryMan,39
mix22891,63
anto9us,31
karrot,15
DanDare,44
e01,52
iWolf,45
danny,31
inmanix,16
riktking,66
vortex,10
Nisstyre65,64
hiku,142
hsr,61
paulmer,11
Callum__,22
Madwill,26
st__,346
sunny_,9
reenignEesreveR,9
s0l1dsnak3123,11
yxz97,37
Kartagis,191
vic20gmr,53
Maletor,111
Sledge,10
Atlantic777,68
dnivra,327
pavanai,21
Fezzler,39
quiescens,146
protojay,22
wmcinnis,17
lotus,32
eric_3,10
skeeter101,10
unop,241
mobius2,87
hajmola,29
tomekh,12
grimly,10
powertool08,113
C_Okie,29
linuxmonster,54
dr_Willis,217
phil,10
tristan3199us,16
centHOGG,64
ivan_,14
Daughain,48
xiong,74
sprung,122
Chilaquiles,62
lstarnes,46
cannonfodder,79
Darkedge,32
Oasa,69
famgod,11
AndChat|,25
wizardslovak,17
Logan_,220
steviewonder,18
Lesterwood,18
vvor,8
ende,11
Jigal,27
Kwpolska,128
wiehan,16
brubelsabs,12
dopple,21
cheater99,37
vdubhack,34
fsc__,9
collabra,125
crimsonmane,69
joona,10
shawn146,48
jarray52,15
bikcmp,81
FloodBot1,3596
PrototypeX29A,19
bsmith093,173
Logicwax,13
CkhiKuzad,163
M1TE5H,12
jozefk,46
JrodDCx,29
LzrdKing,83
przemo_one,20
cwillu_at_work,23
Ari_Lazarus,15
Diverdude,207
SirRedTooth,42
DavidJHeinrich,41
LewisDre4m,13
AkiRa_,10
velociostrich,60
michaeldobrovits,34
Scott1979,16
madPJKfan,30
karmst,62
vocx,74
brianBTB,30
tweaksource,38
Vampire0,13
zvacet,398
misterB,16
jami,57
TeamColtra,16
Baxnie,8
UbuntuLily,34
kesi,9
naptastic,50
anand,16
danub,92
kamakoti,10
allguru,13
chu_,42
lakitu,12
knxville,56
richthegeek,90
Kamokow,24
jschall,29
al_nz1,38
JyZyXEL,32
dbum,50
SealedWithAKiss,47
lun4tic,12
Guest54839,17
wojox,9
NoTownKasper,15
Quirkly,12
th0r,645
intel,15
bondiblueos9,43
ga_sk8er,35
Kevin147,39
ceil,9
bitfox,12
qiyong,14
JustMozzy,12
aguitel,91
amokpaule,12
jamiewan,95
TopGear,18
rcmaehl,207
ssta,83
mazda01,66
llutz_,1075
geitenneuker,30
krazykrivda,35
AcidRain,28
aaaoooaaa,34
oneirosFade,14
ACameron,15
TDJACR,16
san,24
jimbauwens,9
Zhenya,16
cbx,33
quietone,71
RalphSpencer,14
Andorin,81
truepurple,130
jadakren,71
h4ck3rk1ng,14
nul,14
misteralexander,21
nonameNN,19
McL0VIN,18
pluhngz,29
gui7,21
tyrosine,22
BajK,66
Ben64_Lappy,13
toman,14
FluxD,27
GSF1200S,61
sabgenton,63
krunal,33
zagabar,24
intok,33
futurama140,39
pc500,13
echosystm,21
kaolbrec,48
daniel,83
APERSON,21
flexible,11
twobitsprite,17
sync3times,47
lonix,26
LinuX2half,44
sje46,49
darth_tux71,23
sinurge,18
iAmerikan,50
ralph_,12
nicky,9
Lungan,18
FloodBot4,1166
tachiro,20
hellwolf06,20
angryjew,8
pietro10,43
YouArePwned,19
Zela,40
Digistras,17
glaceman,91
Bogo,10
AbhiJit,593
efuse,11
bitplane,59
yggdrasil,19
nac-godfather,36
WACOMalt,27
christen,11
Afflicto,27
bjv,10
New0,40
Beyecixramd,288
eliezer,37
will_,29
lucas_,42
pradeep_,14
nytek_,82
sudipta,93
FunkyWeasel,13
dart,12
funkyHat,46
SodaPhish,9
kazoo,28
goer,22
ethanol,18
IpSe_DiXiT,19
jongbergs,27
drbobb,19
phrix,16
FoolishOwl,45
AegNuddel,47
OpenSourcedNick,15
Roasted,309
madmax_x,35
SwedeMike,441
Mohan_chml,8
Malignus,8
amstan,13
mrsun,10
OttifantSir,59
grendal-prime,71
dream,10
WhiteDawn,76
dante123,44
nanovany,8
ZaNeIuM,8
snake,29
Skaag,9
ringer,16
witeshark,12
JamezQ,38
qwaz,9
julio,16
Zer,23
mar,8
delinquentme,154
mezen,9
HackeMate,15
ogen,24
sjm,146
tanjir,12
xapel,13
Galvatron,134
happy,46
nastas,33
^paradox^,34
happyface,68
Stereocaulon,194
alpha,13
zee313,31
pcgeek32147,22
jud,18
Inazad,8
SingAlong,47
liquidmeson,40
qjqqyy,20
Mike9863,12
stephen_,10
Dravekx,65
HowardtheDuck,36
crawler,113
RedSingularity,11
corey,15
erebus,13
taofd,51
razertek,15
xomp,74
sy,15
kn100,63
AlanBell,43
bastidraZor,20
d3vic3,47
knightrage,14
quentusrex,23
kjele,133
jahnkeanater,8
acidchild,8
exalt,24
handjob,17
Gadget3000,11
b0n1,37
brando753,20
RedLance,8
moses,34
lucent,204
rockguy32,12
torchie,20
johnjohn101,23
carbm2,11
vultraz,14
Bakerconspiracy,14
Coppered,22
morphles,13
mygfiscontradict,8
hylian,298
anon__,33
Kingsy,133
daddy,11
nucc1,53
martianixor,16
strywgr,13
nefast,20
olx69,8
till_,8
Stevezau,8
k0d3g3ar,48
hcl2,20
snayth,12
tflgen2,11
KrisDouglas,68
omani,15
resno,130
hdtdi,24
dborba,37
cba123,33
eddym,14
woodyjlw,37
mead,8
epinky,86
H2O,15
decker,10
p1und3r,35
zoug,36
DannyButterman,35
meowbuntu,218
xiambax,24
CQ,51
robert__,27
gogeta1,125
sakekasi,24
peepsalot,21
Meg,8
tiox,155
serard,14
smw,573
Izinucs,355
tenochslb,16
prince_jammys,226
aafuentes,12
gamer,10
psychuil,10
MagePsycho,34
struhevol,22
Xial,16
brijith,30
tm512,16
LinuxNoob,80
Tricks,21
optidude,20
txomon,64
fritsch,145
raju,26
[deXter],93
Younder,206
Fudge,129
almoxarife,604
dohomi,11
KXTwo,49
aBound,50
dualbootah,21
phillip,10
jayar,9
fbdystang,26
belak,11
ScoobyDoo,19
DJones,358
Tiders,36
gmachine_24,110
bobweaver,268
i_is_broke,69
myk_robinson,41
dublisk,21
flan_suse,29
Cpt_Zyph,81
wildbat,629
seb_,17
opij,64
jmcantrell,31
n0a1ias_,18
robotti^,23
mzawieska,25
maverick,28
_Narc_,14
_CommandeR_,23
gartral,304
nuckable,9
ross_,43
Gerwin,64
NiteSnow,9
anarki2004,20
Niglop,89
tomodachi,112
blendmaster1024_,20
blendmaster1024,93
skreet,34
russlar,11
bofh80,15
MinusSeven,10
guzu,40
hotstew,18
lloowen,16
killown,34
yeats,579
jesus_,22
Sia--,50
ZachK_,39
magellan,29
Fernandos,11
manlymatt83,33
jbicha,20
DIFTOW,30
ae86-drifter,122
Joeseph,12
melow01,25
urthmover,49
jose__,30
linux,95
vaul,18
snarkster,59
ManDay,189
thedude42,34
bobo123,45
arrrghhh,313
guitar-maniac,19
Dabian,16
r0b0tchicken,11
pizzle,10
ade2_,11
MichRT,9
myrl,89
kenpark,17
nuker,13
MASARUwota,145
jerico_,10
queso,43
nightcrow,33
plitter,39
zoobox,12
_Techie_,19
dancallo,28
rp2,17
juniour,136
iceroot_,90
Gaming4JC,86
ionut,69
shafiq,12
Dmole,111
evildaemon,24
BlouBlou,308
ubuntunewbie,40
MK``,80
magepsycho,41
tommy^m,11
ubuntu_,159
MaRk-I,416
Xubuntunoob,11
Sik,25
Renski,27
Tigerboy,33
kesroesweyth,9
userone,32
quatch,8
^Phantom^,56
lampliter,8
Kangarooo,67
d9500,27
Roky,12
switchgirl,40
P67,11
yogg,8
rahduke,106
styx993,20
Happehwalrus,12
Aiya,30
ruan,999
csaba,46
cordoval_,50
azerty3,12
nowimproved,22
ilmenite,16
phirestalker,9
THE_GFR|WORK,64
hackel,12
olskolirc,80
LOGAN,16
wele,15
brandon420,118
Destoned,20
dpac,10
purplefool,27
meatbun,41
Balsaq,37
mikebeecham,56
jdv,8
petsounds,77
xorwhy,65
azlon,56
stsm,11
ServerTech,42
djoef,16
Halitech,55
A_J,113
[TK]D-Fender,129
gorillanoananana,8
crash1hd,62
lake,22
everyrainyday,25
mlkjh,11
Roadcrosser,15
guest345345,21
ct529,47
Prinler,30
Petskull,50
bonhoffer,95
eto,29
danx,27
sikilpaake,19
sunit,35
TehAndrewRyan,23
foxmulder881,31
shomon,143
thevishy,103
Mandrew,38
jerriy,15
Purpley,132
mattycoze,9
rtubio,8
panda_,9
babu__,74
FAMAS,17
Klavier,12
mao,12
allquixotic,16
yaaar,60
tortib,11
dp,21
Noble,17
amit,100
learner,28
Phase,18
SPhcT,18
perlsyntax,114
nikhil_,24
